# z N(z) err_N(z)
0.000000000000000000e+00 6.835872804764712984e-04 7.730512246187898990e-04
5.000000000000000278e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000056e-01 5.464381866358533450e-03 6.540358807526871349e-03
1.500000000000000222e-01 1.996468485905178100e-02 1.271909812333448311e-02
2.000000000000000111e-01 2.741000477130243196e-01 8.881384554834226286e-02
2.500000000000000000e-01 3.689378504031836092e-01 1.083565122134338005e-01
3.000000000000000444e-01 2.211356647719757262e+00 2.264882451250066764e-01
3.500000000000000333e-01 4.050984031397224072e+00 4.327341144442816145e-01
4.000000000000000222e-01 3.001462127351386844e+00 3.514571001968649355e-01
4.500000000000000111e-01 2.457787192526363462e+00 3.106870894225859381e-01
5.000000000000000000e-01 2.569638468520975660e+00 2.647006545688586066e-01
5.500000000000000444e-01 8.801906093193133662e-01 1.627753985408572357e-01
6.000000000000000888e-01 5.660140989769768538e-01 1.100128362493339729e-01
6.500000000000000222e-01 7.687927056082228816e-01 2.538992226200670888e-01
7.000000000000000666e-01 3.061523801682617951e-01 9.703851493528210803e-02
7.500000000000000000e-01 3.484474701466495072e-01 1.858582217003010573e-01
8.000000000000000444e-01 1.434700395946964802e-01 5.150735461153240630e-02
8.500000000000000888e-01 5.560975806159865198e-02 2.751466511617341876e-02
9.000000000000000222e-01 6.788247743678402224e-02 3.068010209261159624e-02
9.500000000000000666e-01 1.144734647858148407e-01 3.985402852803645452e-02
1.000000000000000000e+00 9.909698709470050881e-02 3.536746282389558599e-02
1.050000000000000044e+00 1.900502805715363897e-01 7.834730037350572107e-02
1.100000000000000089e+00 3.543092678052053857e-01 1.340325806167418088e-01
1.150000000000000133e+00 2.497978023080375809e-01 9.531062452604047164e-02
1.200000000000000178e+00 2.846009581446571901e-01 1.036196525061350571e-01
1.250000000000000000e+00 5.406142017942870692e-02 2.278002996472681257e-02
1.300000000000000044e+00 1.051914752052996310e-01 4.265482194879684913e-02
1.350000000000000089e+00 8.817722737748863449e-02 4.516559758114579298e-02
1.400000000000000133e+00 7.661267093856495743e-03 5.961081855109865747e-03
1.450000000000000178e+00 1.019074302260704334e-02 1.377619624092174186e-02
1.500000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.550000000000000044e+00 1.661662686436026284e-02 1.850367113627804719e-02
1.600000000000000089e+00 1.441118271425777947e-02 1.339205658051283859e-02
1.650000000000000133e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.700000000000000178e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.800000000000000044e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.850000000000000089e+00 6.438180038306385460e-05 7.536112224797216082e-05
1.900000000000000133e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.950000000000000178e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.000000000000000000e+00 8.011468942156231825e-05 7.628221062861457872e-05
2.050000000000000266e+00 2.200709327712852308e-11 2.077029845190510598e-11
2.100000000000000089e+00 4.833367360088742983e-05 5.441710043043988153e-05
2.149999999999999911e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.200000000000000178e+00 5.138921015798483116e-05 5.052917576500659064e-05
2.250000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.300000000000000266e+00 4.097576965920939063e-02 2.702276822857644159e-02
2.350000000000000089e+00 3.998312203797535665e-03 6.850249526497128108e-03
2.400000000000000355e+00 7.532856843733738358e-03 6.891547038267866777e-03
2.450000000000000178e+00 2.145394457389231211e-04 1.971961147667780721e-04
2.500000000000000000e+00 1.039707244505376320e-02 1.436114529072714252e-02
2.550000000000000266e+00 1.011947601287551540e-02 1.318927302212351965e-02
2.600000000000000089e+00 2.014811113690421346e-02 1.680487632588184219e-02
2.650000000000000355e+00 2.605957025510574447e-03 2.310251309807647997e-03
2.700000000000000178e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.750000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
2.800000000000000266e+00 3.293396847052277449e-02 2.479652582078373593e-02
2.850000000000000089e+00 2.789610972868725169e-02 2.353005746496618714e-02
2.900000000000000355e+00 8.771549153667091868e-04 8.449617512101966713e-04
2.950000000000000178e+00 9.459509142206933355e-03 1.166275572352697999e-02
3.000000000000000000e+00 4.306616317128027054e-03 3.459254927141300513e-03
3.050000000000000266e+00 9.948965794758081547e-04 1.064677033981936173e-03
3.100000000000000089e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.150000000000000355e+00 3.492990119739611200e-04 3.976672646007556799e-04
3.200000000000000178e+00 0.000000000000000000e+00 0.000000000000000000e+00
3.250000000000000000e+00 3.808626856089501874e-04 3.718750677454624241e-04
3.300000000000000266e+00 4.041593096628636436e-06 3.995761635822108780e-06
3.350000000000000089e+00 7.180374946979642924e-03 6.219967171911877819e-03
3.400000000000000355e+00 7.882317773519951012e-03 9.419884021355035691e-03
3.450000000000000178e+00 1.259212725494828489e-01 6.751500777199345715e-02
